Type	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A1_first [A]	A2_first [A]	A2_first [A]	Rat_first	Rat_first	A1_last [A]	A1_last [A]	A2_last [A]	A2_last [A]	Rat_last	Rat_last
				mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
Standard	MgCl2	-0.8	0.14	4.269522217777778e-05	3.989745757265185e-06	3.5947988844444444e-05	3.512448702281642e-06	0.8417784741368534	0.013020654188497415	-4.227321115555556e-05	2.733264316908745e-06	-3.6129977822222226e-05	2.688626853011066e-06	0.854538507316238	0.024842234084002896
Standard	MgCl2	-0.8	0.15	4.512168694444444e-05	3.886194582555951e-06	3.9661920277777776e-05	4.638569516189528e-06	0.8774646439311825	0.02724962854274499	-4.502041305555556e-05	4.026001245302907e-06	-3.893277972222222e-05	3.864497143035482e-06	0.8644439886906866	0.02299553308288943
Standard	MgCl2	-0.8	0.18	5.5611751944444455e-05	5.658183165384829e-06	5.2579851944444454e-05	5.644167121793161e-06	0.9452969262537742	0.02758292945987138	-5.439061472222223e-05	4.6529254672775194e-06	-5.064344805555556e-05	4.3621027801177304e-06	0.9312459186396197	0.01996893146467714
Standard	MgCl2	-0.8	0.2	5.697178204444445e-05	5.8374861394745166e-06	5.2286848711111115e-05	6.225516958822904e-06	0.9167502303332699	0.01944069251808965	-5.5279651288888885e-05	5.1774483212539126e-06	-5.153648462222222e-05	4.8188559707866334e-06	0.9323033262337074	0.0027526949970436273
Standard	MgCl2	-0.8	0.3	4.990879125555555e-05	3.835182266440042e-06	5.824945792222222e-05	6.281744639947171e-06	1.1674670674188679	0.09596258662716958	-2.6921608744444445e-05	2.9388562134095957e-06	-4.692094207777778e-05	7.198822983278013e-06	1.738715270352153	0.11708440885454816
Standard	MgCl2	-0.8	0.5	3.07338985e-05	3.381825368081842e-06	3.858976516666667e-05	5.105284179580524e-06	1.253897391313228	0.03725127834729462	-2.3657334833333332e-05	6.633041601521988e-07	-2.3228168166666666e-05	2.3463333978561557e-06	0.9842467783554034	0.12852414237669285
Standard	MgCl2	-0.8	0.6	2.8185468483835007e-05	1.8502297547086862e-06	3.275913515050167e-05	2.0272969995301938e-06	1.1624638906975617	0.004474345780843018	-2.832373151616499e-05	2.229952283814384e-06	-1.972077484949833e-05	1.9972408103156758e-06	0.6965132786502973	0.04817979655108176
Standard	MgCl2	-0.8	0.85	3.346050304347826e-05	2.9775098131148833e-06	2.885900304347826e-05	2.0411071754328433e-06	0.863415839619898	0.015781769412124984	-3.404773028985507e-05	2.0260233591603064e-06	-2.5337530289855072e-05	1.8065162222292943e-06	0.7439629853425616	0.02014839658218313
Standard	MgCl2	-0.8	1.1	4.108062688963211e-05	3.889206761072046e-06	3.417046022296544e-05	4.4626780113443016e-06	0.8298327257557344	0.031969155854645756	-4.0911506443701234e-05	3.3309283526239186e-06	-3.4398706443701224e-05	2.92859596388755e-06	0.840652603094712	0.009865778365616272
Standard	MgCl2	-0.8	1.6	4.2709634091415836e-05	3.8249620822690085e-06	3.63637007580825e-05	3.6003143500348175e-06	0.8511068301733795	0.02636220302897144	-4.2775332575250836e-05	2.773860698639891e-06	-3.646126590858417e-05	2.9583098015470605e-06	0.8518787094771447	0.01949965934530077
