Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,90,neg,6.7141411648208305e-06,2.72098953150655e-06,2.7475787571044443e-09,3.3796999372896372e-09,6.195258120884429e-07,6.476060007202557e-07
Standard,KCl,0.1,0.03,10,0,91,pos,6.8337057210025405e-06,2.6740488836289767e-06,1.1956455618170945e-07,8.677868558460819e-08,1.8198689963283122e-06,5.388412335726316e-07
Standard,KCl,0.1,0.03,10,0,92,pos,6.8201135690060255e-06,2.661385846355384e-06,-1.3592151996513835e-08,1.2767680586487632e-08,1.691636173015947e-06,5.368567803178275e-07
Standard,KCl,0.1,0.03,10,0,93,pos,6.810445133472361e-06,2.6506797724201777e-06,-9.668435533664971e-09,1.093931949668345e-08,1.6673277439716066e-06,4.4832574905129857e-07
Standard,KCl,0.1,0.03,10,0,94,pos,6.799231163275484e-06,2.6457322099857505e-06,-1.1213970196877199e-08,5.023684931312894e-09,1.451231094977872e-06,3.9490524846211555e-07
Standard,KCl,0.1,0.03,10,0,95,pos,6.794856692711922e-06,2.6380509037297135e-06,-4.37447056356149e-09,7.994823778693708e-09,1.5110017508673994e-06,6.641449865718064e-07
Standard,KCl,0.1,0.03,10,0,96,pos,6.790445477615019e-06,2.6346156041772383e-06,-4.411215096903995e-09,4.0688928853716604e-09,1.3925897324897962e-06,6.988977981436294e-07
Standard,KCl,0.1,0.03,10,0,97,pos,6.785189735107148e-06,2.6317338431743424e-06,-5.255742507869744e-09,2.883324118415185e-09,1.3639791269806184e-06,7.881554902019481e-07
Standard,KCl,0.1,0.03,10,0,98,pos,6.782959871998173e-06,2.6273396803366767e-06,-2.229863108975202e-09,4.489387670700245e-09,1.451403647436752e-06,6.099243053784116e-07
Standard,KCl,0.1,0.03,10,0,99,pos,6.780251169402618e-06,2.630928040361127e-06,-2.708702595555506e-09,3.611407665659751e-09,1.3538699684798427e-06,6.00505358333442e-07
Standard,KCl,0.1,0.03,10,0,100,pos,6.776242344130878e-06,2.6241336475918213e-06,-4.0088252717396244e-09,7.051368869605909e-09,1.378745591291232e-06,7.651559675530186e-07
Standard,KCl,0.1,0.03,10,0,101,neg,6.6471823364130005e-06,2.657994419273834e-06,-1.2906000771787754e-07,7.313095590582609e-08,1.2384553093816003e-07,1.3498769308848243e-07
Standard,KCl,0.1,0.03,10,0,102,neg,6.661413166852982e-06,2.6788408080948612e-06,1.4230830439980575e-08,2.1317610740088434e-08,2.9363784355339366e-07,3.8071906017004744e-07
Standard,KCl,0.1,0.03,10,0,103,neg,6.674378572787039e-06,2.689137751354231e-06,1.2965405934057991e-08,1.1495333560498607e-08,3.720797022676742e-07,3.005495550219058e-07
Standard,KCl,0.1,0.03,10,0,104,neg,6.682926600850199e-06,2.69804172588902e-06,8.548028063160018e-09,1.0473150928070355e-08,4.267554420418113e-07,3.399103548980253e-07
Standard,KCl,0.1,0.03,10,0,105,neg,6.691520511026283e-06,2.704541562287377e-06,8.593910176083552e-09,6.798269957386487e-09,5.881637005177111e-07,3.009897165089613e-07
Standard,KCl,0.1,0.03,10,0,106,neg,6.6990084945928174e-06,2.7123432960686607e-06,7.487983566534523e-09,7.967914579237206e-09,6.29891941710939e-07,5.657182616610983e-07
Standard,KCl,0.1,0.03,10,0,107,neg,6.703844491084965e-06,2.7150746076065403e-06,4.8359964921476695e-09,2.99598480254703e-09,7.196593341267177e-07,5.908809294679222e-07
Standard,KCl,0.1,0.03,10,0,108,neg,6.709257855656385e-06,2.720864525780952e-06,5.413364571419475e-09,5.985567221614217e-09,6.186142061871063e-07,3.4136025871804483e-07
Standard,KCl,0.1,0.03,10,0,109,neg,6.711768430515501e-06,2.722285599718294e-06,2.5105748591153126e-09,2.944179729119463e-09,4.917115186279666e-07,3.288427713302771e-07
Standard,KCl,0.1,0.03,10,0,110,neg,6.715464526981425e-06,2.7227585152943147e-06,3.6960964659247527e-09,2.9179673587859444e-09,6.099183026668118e-07,1.5473834379903635e-07
Standard,KCl,0.1,0.03,10,0,111,pos,6.833320066827279e-06,2.6821382771698936e-06,1.1785553984585467e-07,8.288456411999324e-08,1.822688936804245e-06,6.603160934902294e-07
Standard,KCl,0.1,0.03,10,0,112,pos,6.820939120188995e-06,2.658430758178947e-06,-1.2380946638283866e-08,2.464778510765399e-08,1.7245558941981242e-06,6.40045911252117e-07
Standard,KCl,0.1,0.03,10,0,113,pos,6.807876128315608e-06,2.6514863885464723e-06,-1.3062991873387284e-08,7.0447389457094455e-09,1.7627695372227866e-06,4.6745679605618375e-07
Standard,KCl,0.1,0.03,10,0,114,pos,6.8032609353470734e-06,2.643202426896985e-06,-4.61519296853415e-09,9.011084878690566e-09,1.6979576022902253e-06,6.057218709860616e-07
Standard,KCl,0.1,0.03,10,0,115,pos,6.799148096092722e-06,2.639178674005986e-06,-4.112839254352042e-09,4.430405962546043e-09,1.7221320382332832e-06,5.799225888629224e-07
Standard,KCl,0.1,0.03,10,0,116,pos,6.792107754449717e-06,2.6339389057681575e-06,-7.040341643005377e-09,5.244870213844854e-09,1.5998998492994987e-06,5.353775292963222e-07
Standard,KCl,0.1,0.03,10,0,117,pos,6.785870600841311e-06,2.6316878418611348e-06,-6.237153608404738e-09,2.4243725594982064e-09,1.4918976106080484e-06,5.18684113821896e-07
Standard,KCl,0.1,0.03,10,0,118,pos,6.787317995341861e-06,2.632097960946025e-06,1.4473945005490464e-09,2.35993349391053e-09,1.518053814343506e-06,7.388253122816747e-07
Standard,KCl,0.1,0.03,10,0,119,pos,6.783314807042491e-06,2.6274358103134866e-06,-4.003188299369261e-09,4.832239291156563e-09,1.4431672018594199e-06,7.724651876238985e-07
Standard,KCl,0.1,0.03,10,0,120,pos,6.7802604396168436e-06,2.625491083528607e-06,-3.0543674256480795e-09,2.6135854283527604e-09,1.5414458063947543e-06,8.469579370536468e-07
Standard,KCl,0.1,0.03,10,0,121,neg,6.647160802231156e-06,2.658139816957477e-06,-1.3309963738568788e-07,7.294999710944099e-08,1.6498368664574816e-07,2.907882844722287e-07
Standard,KCl,0.1,0.03,10,0,122,neg,6.662307171723114e-06,2.680282258713332e-06,1.5146369491958467e-08,2.3305469805350734e-08,2.1701115506537794e-07,7.363197363181256e-08
Standard,KCl,0.1,0.03,10,0,123,neg,6.6737929008316614e-06,2.691516230751968e-06,1.1485729108547579e-08,1.1883585156357783e-08,3.348072181007735e-07,2.2993981201234835e-07
Standard,KCl,0.1,0.03,10,0,124,neg,6.683860704015388e-06,2.7020403731396177e-06,1.006780318372629e-08,1.0524450125196676e-08,3.633929518367312e-07,9.101328562874794e-08
Standard,KCl,0.1,0.03,10,0,125,neg,6.691819431618266e-06,2.707775083083897e-06,7.958727602877885e-09,5.8053671284969884e-09,5.389256110544536e-07,4.4167914180150617e-07
Standard,KCl,0.1,0.03,10,0,126,neg,6.6967142799967405e-06,2.7130938863299714e-06,4.8948483784743275e-09,5.593022139220318e-09,5.691634335932587e-07,4.2807712789899107e-07
Standard,KCl,0.1,0.03,10,0,127,neg,6.7011282377886045e-06,2.7167962167414145e-06,4.413957791864594e-09,4.0930407726617325e-09,5.853020303036827e-07,3.8636688572061176e-07
Standard,KCl,0.1,0.03,10,0,128,neg,6.708433521869968e-06,2.722666637206785e-06,7.305284081364032e-09,7.200848205509547e-09,6.767458751808444e-07,3.4618562818511447e-07
Standard,KCl,0.1,0.03,10,0,129,neg,6.7110146867814064e-06,2.7240366498103835e-06,2.5811649114370104e-09,1.7911792898923653e-09,7.004610163936857e-07,5.129952761581038e-07
Standard,KCl,0.1,0.03,10,0,130,neg,6.7147218392923e-06,2.7257725886016834e-06,3.7071525108943094e-09,3.2966659589780078e-09,7.012802988699742e-07,8.811694742627514e-07
Standard,KCl,0.1,0.03,10,0,131,pos,6.832706380540308e-06,2.678342171031637e-06,1.1798454124800713e-07,8.594347200433982e-08,2.0023005835186027e-06,4.314882475177273e-07
Standard,KCl,0.1,0.03,10,0,132,pos,6.8190412605417805e-06,2.6573781568353334e-06,-1.366511999852624e-08,2.107772361718295e-08,1.8699812545775772e-06,2.4075754826850123e-07
