Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Enode	1	3	KCl	210	2	0.12	8.12132e-06	1.86147e-05	2.292078135081489	11814.05108891881	1.86147e-05	1.082847e-05	0.12	9.97500000000256e-08	-0.6	-2.2769999999999933e-05	0.6	8.933499999999997e-06
Enode	1	3	KCl	151	1	0.26	1.037417e-05	2.14741e-05	2.069958367753758	8410.237950862343	2.025323e-05	1.198283e-05	0.26	1.1400000000000602e-07	-0.38	-2.060425e-05	-0.6	5.571499999999998e-05
Enode	1	3	KCl	110	2	0.12	1.04126e-05	2.432147e-05	2.335773005781457	9241.887932866926	2.432147e-05	1.383527e-05	0.12	2.9899999999993734e-07	-0.46	-2.7928500000000043e-05	0.6	1.0320000000000005e-05
Enode	1	3	KCl	150	1	0.1	9.920507e-06	1.735677e-05	1.7495849758485127	9849.56755473651	1.643607e-05	1.29036e-05	0.1	1.253249999999648e-07	-0.4	-1.7276499999999942e-05	-0.6	3.830299999999996e-05
Enode	1	3	KCl	152	1	0.14	1.01559e-05	1.697863e-05	1.671799643556947	9510.042604990873	1.63431e-05	1.23095e-05	0.14	1.3675000000001186e-07	-0.4	-1.5025750000000092e-05	-0.6	2.9065000000000007e-05
Enode	1	3	KCl	140	2	0.1	1.00193e-05	2.09999e-05	2.095944826484884	9732.388513056489	2.09999e-05	1.301007e-05	0.1	1.0249999999998758e-07	-0.6	-2.5511499999999944e-05	0.6	9.562000000000004e-06
Enode	2	2	MgCl2	250	2	0.22	6.531697e-06	1.531403e-05	2.3445714031131577	13829.93303684723	1.531403e-05	7.905207e-06	0.22	1.5782500000001572e-07	-0.54	-1.8205999999999995e-05	0.6	6.469499999999916e-06
Enode	2	2	MgCl2	230	2	0.14	6.41839e-06	1.52915e-05	2.382451050808692	14767.530276759762	1.52915e-05	8.590887e-06	0.14	2.2825000000004312e-08	-0.52	-1.9219000000000007e-05	0.6	7.342700000000047e-06
Enode	2	2	MgCl2	210	2	0.14	6.4653e-06	1.591103e-05	2.460988662552395	14514.603360159708	1.591103e-05	8.5659e-06	0.16	3.613250000000215e-07	-0.5	-1.9742499999999955e-05	0.6	7.152850000000048e-06
Enode	2	2	MgCl2	152	1	0.22	9.682093e-06	1.570813e-05	1.622389910941777	9750.770310854556	1.419777e-05	1.07673e-05	0.22	6.792500000001512e-08	-0.4	-1.2761750000000009e-05	-0.6	6.130299999999988e-05
Enode	2	2	MgCl2	110	2	0.22	1.091307e-05	2.4177e-05	2.215416926675995	8407.03500689377	2.4177e-05	1.24413e-05	0.22	2.2100000000001025e-07	-0.46	-2.576400000000006e-05	0.56	6.27000000000006e-06
Enode	2	2	MgCl2	140	2	0.18	9.84489e-06	2.01572e-05	2.0474784380526345	9703.113826257984	2.01572e-05	1.15204e-05	0.18	1.199249999999665e-07	-0.56	-2.386175000000017e-05	0.58	6.55174999999997e-06
Enode	2	2	MgCl2	150	1	0.18	9.681657e-06	1.654453e-05	1.708853143630269	9851.634386144662	1.453873e-05	1.145127e-05	0.18	2.580999999999764e-07	-0.38	-1.5230000000000029e-05	-0.6	7.572999999999989e-05
Enode	2	2	MgCl2	151	1	0.36	1.014973e-05	2.062077e-05	2.03165699974285	8242.371890874294	1.806347e-05	1.078767e-05	0.36	6.849999999999436e-08	-0.38	-1.8616500000000007e-05	-0.6	0.0001066779999999
Enode	2	1	KCl	230	2	0.08	7.197807e-06	1.683257e-05	2.3385692336568624	13568.8579512897	1.683257e-05	1.04746e-05	0.08	1.5384999999998837e-07	-0.54	-2.131249999999996e-05	0.58	9.25425000000002e-06
