Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.662,-7.7486e-07,4.31538e-05,6.58035e-06,0.10003
0.664,-9.05991e-07,6.24657e-05,6.31809e-06,0.100031
0.666,-6.91414e-07,4.1008e-05,6.28233e-06,0.100028
0.668,-5.60284e-07,3.52859e-05,6.40154e-06,0.100029
0.67,-7.27177e-07,3.24249e-05,6.44922e-06,0.100031
0.672,-3.93391e-07,4.79221e-05,6.36578e-06,0.100029
0.674,-3.09944e-07,3.62396e-05,6.40154e-06,0.100027
0.676,-8.58307e-07,3.52859e-05,6.18696e-06,0.100033
0.678,-6.4373e-07,2.57492e-05,6.18696e-06,0.10003
0.68,-3.45707e-07,5.07832e-05,6.31809e-06,0.100029
0.682,-9.41753e-07,3.91006e-05,6.31809e-06,0.100029
0.684,-7.27177e-07,2.86102e-05,6.02007e-06,0.100034
0.686,-1.12057e-06,3.33786e-05,6.53267e-06,0.100028
0.688,-8.22544e-07,2.76566e-05,6.23465e-06,0.100029
0.69,-7.7486e-07,2.67029e-05,6.02007e-06,0.100036
0.692,-1.3113e-07,5.07832e-05,6.18696e-06,0.100036
0.694,-5.60284e-07,4.69685e-05,6.40154e-06,0.100031
0.696,-4.29153e-07,3.62396e-05,6.58035e-06,0.100027
0.698,-7.27177e-07,3.43323e-05,6.28233e-06,0.100031
0.7,-3.45707e-07,2.47955e-05,6.36578e-06,0.100034
0.702,-9.05991e-07,4.41074e-05,6.10352e-06,0.100034
0.704,-9.41753e-07,2.67029e-05,6.36578e-06,0.10003
0.706,-5.60284e-07,2.26498e-05,6.36578e-06,0.100033
0.708,-8.22544e-07,2.86102e-05,6.02007e-06,0.100035
0.71,-3.93391e-07,1.3113e-05,6.18696e-06,0.100026
0.712,-4.29153e-07,4.79221e-05,6.31809e-06,0.100032
0.714,-7.27177e-07,4.41074e-05,6.28233e-06,0.100035
0.716,-9.41753e-07,2.57492e-05,6.1512e-06,0.100033
0.718,-4.29153e-07,1.97887e-05,6.40154e-06,0.100025
0.72,-7.7486e-07,3.14713e-05,6.79493e-06,0.100028
0.722,-9.41753e-07,1.78814e-05,6.1512e-06,0.100035
0.724,-3.45707e-07,3.05176e-05,6.49691e-06,0.100029
0.726,-6.4373e-07,3.62396e-05,6.31809e-06,0.100034
0.728,-2.6226e-07,3.52859e-05,6.31809e-06,0.100034
0.73,-3.09944e-07,4.60148e-05,6.49691e-06,0.100029
0.732,-5.24521e-07,4.69685e-05,6.58035e-06,0.100024
0.734,-9.41753e-07,4.1008e-05,5.6386e-06,0.100031
0.736,-9.05991e-07,3.8147e-05,6.28233e-06,0.100036
0.738,-9.41753e-07,1.78814e-05,6.28233e-06,0.100026
0.74,-4.76837e-07,3.71933e-05,6.31809e-06,0.100031
0.742,-2.14577e-07,3.43323e-05,6.49691e-06,0.100037
0.744,-4.76837e-08,3.05176e-05,6.40154e-06,0.10003
0.746,-1.3113e-07,3.71933e-05,6.49691e-06,0.100034
0.748,-5.24521e-07,3.62396e-05,6.06775e-06,0.100029
0.75,-1.50204e-06,2.76566e-05,6.40154e-06,0.100027
0.752,-4.76837e-08,3.14713e-05,6.58035e-06,0.10003
0.754,-6.07967e-07,4.98295e-05,6.06775e-06,0.100033
0.756,-8.22544e-07,3.24249e-05,6.36578e-06,0.100035
0.758,-1.12057e-06,5.17368e-05,6.53267e-06,0.100031
0.76,-6.91414e-07,3.62396e-05,5.72205e-06,0.100029
0.762,-4.76837e-07,3.14713e-05,6.36578e-06,0.100026
0.764,-4.76837e-07,4.41074e-05,6.23465e-06,0.100026
0.766,-1.15633e-06,2.86102e-05,5.85318e-06,0.100032
0.768,-5.60284e-07,1.97887e-05,6.06775e-06,0.100029
