Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.672,-5.60284e-07,1.97887e-05,5.59092e-06,0.100035
0.674,-1.78814e-07,1.0252e-05,5.6386e-06,0.100036
0.676,-4.29153e-07,1.5974e-05,5.93662e-06,0.100036
0.678,-4.29153e-07,2.45571e-05,5.45979e-06,0.100037
0.68,-4.76837e-08,3.14713e-05,5.55515e-06,0.100033
0.682,-6.07967e-07,1.69277e-05,6.19888e-06,0.100038
0.684,0.0,1.97887e-05,5.34058e-06,0.100034
0.686,-2.14577e-07,2.86102e-05,5.6386e-06,0.10004
0.688,-1.78814e-07,2.95639e-05,5.76973e-06,0.100036
0.69,-4.29153e-07,1.50204e-05,5.6386e-06,0.100032
0.692,-4.76837e-07,2.95639e-05,5.88894e-06,0.100036
0.694,-4.29153e-07,3.71933e-05,5.80549e-06,0.100036
0.696,-3.93391e-07,4.1008e-05,5.45979e-06,0.100034
0.698,-3.45707e-07,3.52859e-05,5.6386e-06,0.100035
0.7,-2.14577e-07,1.69277e-05,5.6386e-06,0.100037
0.702,-6.07967e-07,3.33786e-05,5.72205e-06,0.100035
0.704,-6.91414e-07,2.07424e-05,5.67436e-06,0.100036
0.706,-9.53674e-08,3.05176e-05,5.59092e-06,0.100038
0.708,-4.29153e-07,5.36442e-05,5.59092e-06,0.100035
0.71,-3.93391e-07,1.97887e-05,5.85318e-06,0.100036
0.712,-2.6226e-07,2.57492e-05,5.6386e-06,0.100037
0.714,-3.09944e-07,3.43323e-05,5.67436e-06,0.100037
0.716,-4.76837e-08,4.31538e-05,5.80549e-06,0.100032
0.718,-3.09944e-07,4.88758e-05,5.67436e-06,0.100034
0.72,-5.24521e-07,4.00543e-05,5.50747e-06,0.10003
0.722,-6.91414e-07,2.45571e-05,5.76973e-06,0.100035
0.724,-3.09944e-07,5.45979e-05,5.37634e-06,0.100039
0.726,-3.45707e-07,2.95639e-05,5.6386e-06,0.10004
0.728,-1.3113e-07,2.95639e-05,5.67436e-06,0.10003
0.73,0.0,3.24249e-05,5.76973e-06,0.100034
0.732,3.57628e-08,4.22001e-05,5.67436e-06,0.100037
0.734,-1.78814e-07,4.79221e-05,5.72205e-06,0.100035
0.736,-5.24521e-07,4.69685e-05,6.1512e-06,0.100033
0.738,-6.07967e-07,1.69277e-05,5.55515e-06,0.100037
0.74,-3.09944e-07,1.97887e-05,5.37634e-06,0.100034
0.742,-5.24521e-07,1.0252e-05,5.76973e-06,0.100038
0.744,-5.60284e-07,3.24249e-05,5.42402e-06,0.100038
0.746,-1.78814e-07,4.31538e-05,5.85318e-06,0.100037
0.748,-2.14577e-07,4.88758e-05,5.45979e-06,0.10004
0.75,-3.93391e-07,3.33786e-05,5.85318e-06,0.100032
0.752,-4.76837e-07,1.97887e-05,5.37634e-06,0.100032
0.754,-2.6226e-07,4.00543e-05,5.72205e-06,0.100036
0.756,-2.6226e-07,4.22001e-05,5.6386e-06,0.100034
0.758,-4.76837e-08,2.16961e-05,5.6386e-06,0.100035
0.76,-5.24521e-07,1.78814e-05,5.80549e-06,0.100036
0.762,-9.53674e-08,1.88351e-05,5.72205e-06,0.100032
0.764,-4.29153e-07,2.57492e-05,5.76973e-06,0.100042
0.766,-2.14577e-07,1.78814e-05,5.67436e-06,0.100031
0.768,-4.76837e-07,3.05176e-05,5.50747e-06,0.100039
0.77,-4.76837e-07,2.67029e-05,5.72205e-06,0.100036
0.772,-3.93391e-07,2.36034e-05,5.6386e-06,0.100033
0.774,-6.4373e-07,2.76566e-05,5.67436e-06,0.100033
0.776,-6.91414e-07,2.07424e-05,5.67436e-06,0.100037
0.778,-4.76837e-07,3.62396e-05,5.45979e-06,0.100037
0.78,-3.09944e-07,3.14713e-05,5.72205e-06,0.100035
0.782,-2.14577e-07,1.12057e-05,5.59092e-06,0.100033
0.784,-1.78814e-07,3.05176e-05,5.85318e-06,0.100033
0.786,-8.58307e-07,3.33786e-05,5.59092e-06,0.100033
0.788,-3.93391e-07,1.5974e-05,5.59092e-06,0.100033
0.79,-4.29153e-07,1.69277e-05,6.02007e-06,0.10003
0.792,-3.93391e-07,-6.19888e-06,5.88894e-06,0.100032
0.794,-4.29153e-07,3.52859e-05,5.55515e-06,0.100038
0.796,-4.29153e-07,4.41074e-05,5.72205e-06,0.100037
0.798,-1.78814e-07,2.57492e-05,5.6386e-06,0.100033
0.8,-3.09944e-07,2.67029e-05,5.34058e-06,0.100039
0.802,-3.93391e-07,1.88351e-05,5.59092e-06,0.100031
0.804,-7.7486e-07,1.97887e-05,5.98431e-06,0.100031
0.806,-2.6226e-07,3.43323e-05,5.24521e-06,0.100037
0.808,-6.4373e-07,2.86102e-05,5.29289e-06,0.100039
